precio,aream2,toilets,garajes,estrato
350000000,230.0,5,5,2
520000000,240.0,3,1,5
290000000,120.0,2,1,3
298000000,140.0,2,0,3
795000000,164.0,5,2,6
270000000,130.0,1,1,3
585000000,221.0,3,2,5
390000000,100.0,3,1,4
485000000,136.0,5,1,3
195000000,62.0,2,0,2
280000000,120.0,2,1,3
350000000,182.0,2,1,3
650000000,225.0,4,0,3
300000000,120.0,4,0,3
140000000,62.0,1,0,2
430000000,219.0,3,1,2
735000000,250.0,8,1,5
350000000,10.0,3,0,3
450000000,99.0,4,2,4
400000000,126.0,4,2,4
350000000,200.0,4,0,3
395000000,95.0,2,0,0
170000000,150.0,4,0,0
225000000,58.0,2,1,3
703000000,178.0,3,2,5
299000000,180.0,2,1,4
250000000,80.0,2,0,3
200000000,170.0,1,0,5
230000000,121.0,1,1,3
578000000,170.0,4,2,5
395000000,105.0,3,1,4
400000000,97.0,4,1,3
260000000,155.0,2,0,3
460000000,160.0,3,1,4
620000000,247.0,5,3,5
730000000,150.0,8,2,5
615000000,240.0,4,3,5
178000000,75.0,1,1,3
300000000,75.0,3,1,5
410000000,260.0,4,0,4
490000000,243.0,4,0,0
610000000,170.0,3,0,3
480000000,128.0,4,2,5
180000000,80.0,2,0,3
195000000,103.0,2,0,3
380000000,139.0,4,2,5
380000000,144.0,1,0,4
175000000,80.0,2,0,3
330000000,150.0,3,1,3
175000000,61.73,1,0,3
600000000,145.0,3,1,3
400000000,250.0,4,2,5
550000000,123.0,3,1,3
900000000,240.8,3,1,5
590000000,212.0,4,1,5
280000000,110.0,2,0,3
499500000,264.0,2,2,4
185000000,60.0,2,0,0
340000000,177.0,2,1,2
97000000,70.0,1,0,3
310000000,180.0,2,1,3
500000000,180.0,4,2,5
268000000,156.0,3,0,3
290000000,216.0,4,0,2
200000000,163.85,2,0,2
590000000,205.0,5,3,5
585000000,200.0,3,1,4
269000000,130.0,3,0,3
398000000,103.37,2,2,4
474200000,110.0,3,0,5
323200000,84.62,2,0,5
750000000,160.0,4,0,6
410000000,90.0,3,1,5
750000000,250.0,5,1,4
230000000,120.0,3,1,4
340000000,153.0,3,2,4
265000000,140.0,2,1,3
650000000,180.0,4,2,6
180000000,80.0,1,1,3
249000000,73.0,3,1,4
340000000,86.0,3,0,4
170000000,160.0,2,1,2
85000000,60.0,2,1,2
355000000,146.0,3,1,4
550000000,99.0,3,1,5
220000000,240.0,5,0,2
600000000,180.0,5,2,6
500000000,158.0,4,2,5
230000000,100.0,2,1,4
580000000,152.0,4,4,5
450000000,180.0,4,1,5
205000000,110.0,3,0,0
650000000,184.0,4,2,6
395000000,114.0,3,2,5
160000000,56.0,2,1,1
120000000,50.0,1,0,3
350000000,91.0,2,1,5
262000000,70.0,2,1,4
319813000,91.0,3,2,6
180000000,60.0,1,0,4
223000000,105.0,3,0,5
330000000,80.0,2,0,5
800000000,175.0,4,2,6
140000000,58.0,2,1,3
365000000,98.0,3,1,6
750000000,123.0,4,2,5
380000000,88.0,2,2,5
320000000,105.0,3,2,5
150000000,55.0,2,0,3
620000000,119.0,4,0,5
145000000,58.0,2,0,3
330000000,96.0,3,1,5
213000000,61.0,2,0,4
260000000,75.0,2,1,5
980000000,185.0,4,2,6
250000000,89.0,2,1,5
700000000,135.0,3,2,5
205000000,65.0,2,1,4
400000000,88.0,2,1,6
560000000,144.0,3,2,5
185000000,62.0,2,0,4
750000000,157.0,5,2,6
155000000,111.0,2,1,2
415000000,201.0,2,1,4
280000000,88.0,3,1,5
265000000,71.0,2,1,4
330000000,124.0,3,2,3
130000000,52.0,1,0,3
378000000,99.0,3,2,4
161000000,58.0,2,1,3
300000000,73.0,2,1,5
190000000,60.0,2,1,5
257400000,65.0,2,1,5
195000000,62.0,2,0,4
160000000,57.0,2,0,3
525000000,100.0,3,1,5
325000000,96.0,3,1,5
470000000,257.0,3,2,5
480000000,121.0,3,2,6
350000000,101.0,2,0,5
135000000,50.0,2,1,4
360000000,88.0,2,1,5
235000000,60.0,2,1,4
260000000,85.0,3,0,5
420000000,106.0,3,2,5
750000000,180.0,4,2,6
430000000,115.0,4,2,4
1050000000,185.0,5,2,6
450000000,83.0,2,1,6
989000000,230.0,4,2,6
430000000,91.0,3,1,4
400000000,104.0,3,1,5
350000000,84.0,2,2,5
465000000,100.0,2,1,4
164000000,60.0,2,1,3
540000000,97.0,2,2,6
280000000,85.0,2,1,5
517000000,87.0,2,1,5
820000000,154.0,5,2,6
350000000,89.0,2,2,5
250000000,61.0,2,1,4
620000000,135.47,4,2,5
620000000,160.0,3,2,5
535000000,97.0,2,1,4
330000000,98.0,3,1,6
150000000,60.0,1,0,3
780000000,128.0,3,2,6
185000000,60.0,2,1,4
315000000,96.0,3,1,5
650000000,226.0,4,3,6
535000000,114.0,3,2,5
200000000,72.0,2,1,4
950000000,170.0,4,2,6
330000000,210.0,4,1,5
560000000,143.8,3,2,5
175000000,64.0,2,0,4
165000000,48.0,2,0,4
225000000,141.0,3,0,4
440000000,67.0,2,1,6
520000000,198.0,3,1,5
210000000,64.0,2,1,3
285000000,81.0,2,1,4
620000000,119.0,3,2,6
680000000,108.0,2,2,6
780000000,207.0,3,2,6
599000000,93.0,2,2,6
1000000000,169.95,4,2,6
260000000,96.0,2,1,4
380000000,110.0,3,1,6
775000000,130.0,3,2,5
590000000,123.0,4,2,5
385000000,88.0,2,2,6
350000000,79.0,3,2,5
275000000,81.0,2,1,5
740000000,150.0,4,2,5
267000000,94.69,2,1,5
715000000,123.0,4,2,6
600000000,200.0,4,2,5
490000000,91.0,3,1,5
585000000,132.0,4,2,6
570000000,126.0,3,2,6
180000000,60.0,2,1,4
660000000,150.0,3,2,6
165000000,50.0,1,1,4
340000000,75.0,2,1,5
311000000,87.0,2,2,5
230000000,84.0,3,1,5
595000000,120.0,5,2,6
632000000,95.0,3,2,6
180000000,58.0,2,1,3
195000000,58.0,2,1,4
270000000,72.0,2,1,4
260000000,70.0,3,1,5
380000000,72.0,2,1,4
620000000,124.0,5,2,6
850000000,145.0,3,2,6
570000000,92.0,3,2,6
490000000,220.0,4,1,4
495000000,120.0,3,2,5
550000000,160.0,3,0,0
340000000,140.0,3,1,5
460000000,264.0,3,1,4
490000000,130.0,3,2,5
385000000,120.0,3,2,4
525000000,264.0,4,1,4
330000000,160.0,2,1,3
400000000,138.0,5,1,5
340000000,81.64,3,1,5
195000000,120.0,1,0,3
105000000,89.0,1,1,3
290000000,230.0,2,1,3
510000000,264.0,3,2,5
200000000,91.0,2,0,3
245000000,75.0,2,0,3
550000000,232.0,2,1,3
290000000,237.0,6,0,3
380000000,260.0,4,1,3
168000000,136.0,2,1,2
450000000,147.0,4,1,5
730000000,182.0,7,1,3
450000000,200.0,3,2,4
990000000,250.0,8,2,6
260000000,155.0,2,0,3
400000000,180.0,1,0,2
310000000,160.0,4,1,4
550000000,176.0,3,2,5
320000000,180.0,5,2,4
195000000,98.0,2,0,0
360000000,150.0,2,1,3
450000000,190.0,3,5,2
550000000,210.0,3,2,4
290000000,255.0,4,0,3
970000000,247.0,4,3,5
60000000,105.0,2,0,2
520000000,207.0,3,2,5
390000000,126.0,3,2,4
390000000,210.0,2,1,5
350000000,165.0,3,0,4
390000000,180.0,6,0,3
280000000,150.0,3,0,3
535000000,132.0,3,2,4
375000000,150.0,5,5,3
339000000,127.0,3,1,5
330000000,210.0,4,0,3
760000000,275.0,4,2,2
780000000,230.0,5,2,5
850000000,225.0,5,3,6
470000000,175.0,3,1,4
150000000,150.0,2,0,2
450000000,260.0,3,1,5
160000000,48.0,2,0,3
390000000,180.0,3,1,4
238000000,68.0,3,1,4
420000000,235.2,1,0,3
480000000,160.0,2,2,4
480000000,220.0,2,1,3
230000000,121.0,1,1,3
245000000,165.0,1,2,3
320000000,160.0,2,2,2
160000000,94.0,3,1,2
450000000,250.0,4,1,4
650000000,122.0,5,2,6
300000000,115.0,2,0,3
220000000,65.0,3,1,3
395000000,103.0,3,2,5
420000000,90.09,3,1,5
220000000,207.0,2,1,2
100000000,60.0,2,1,3
360000000,86.0,3,1,4
171900000,70.08,1,0,2
134500000,50.2,1,0,2
398179522,108.24,2,0,5
590000000,160.0,5,2,6
290000000,145.0,2,1,4
165000000,80.0,1,0,2
275000000,107.0,3,2,4
380000000,132.0,3,1,4
200000000,60.0,2,0,4
750000000,260.0,4,4,5
318000000,94.0,3,2,5
245000000,76.0,2,1,4
240000000,90.0,2,0,2
600000000,157.0,5,2,5
460000000,120.0,3,2,4
190000000,140.0,2,1,2
140000000,69.0,2,0,2
950000000,266.0,5,2,6
220000000,76.0,3,1,3
570000000,156.0,3,2,5
365000000,150.0,2,3,3
280000000,90.0,3,1,4
300000000,90.0,3,1,4
820000000,250.0,4,4,6
400000000,210.0,2,2,3
250000000,72.0,3,1,5
490000000,200.0,4,1,5
440000000,240.0,3,1,4
239000000,103.0,2,0,3
98000000,52.0,2,1,2
360000000,170.0,3,0,3
670000000,270.0,4,2,5
450000000,117.0,3,2,5
265000000,89.0,2,1,4
420000000,93.0,3,2,6
450000000,130.0,3,2,6
320000000,153.0,4,1,5
830000000,165.0,4,2,6
