area,cuartos,titulo,oferta,garajes,tocadores,precio,vlradmin,vlrarriendo,tipoinmueble,nombrecontructor,nombreproyecto,barrio,comuna,ciudad,zona,propid,contactnumber,estadoinmueble,idempresa,descripcion,link
115.0,4,"Apartamento en Venta, San Diego, Medellín",venta,2,4,560000000,999999.0,,Apartamento,,,ASOMADERA NO 2,San Diego,Medellín,Nororiente,15740-M4259000,3001569341,Usado,6419.0,/inmueble/venta-apartamento-medellin-asomadera-no.2-4-habitaciones-4-banos-2-garajes/15740-M4259000,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-asomadera-no.2-4-habitaciones-4-banos-2-garajes/15740-M4259000
1696.0,5,"Casa en Venta, Las Palmas, Medellín",venta,4,5,3600000000,1100000.0,0.0,Casa,,,ALTOS DEL POBLADO,Las Palmas,Medellín,Nororiente,11714-M3108174,3105080492,Usado,5447.0,/inmueble/venta-casa-medellin-altos-del-poblado-5-habitaciones-5-banos-4-garajes/11714-M3108174,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-5-habitaciones-5-banos-4-garajes/11714-M3108174
555.0,4,"Casa en Venta, Las Palmas  El Poblado  Medellin, Medellín",venta,4,5,6800000000,790000.0,0.0,Casa,,,LAS PALMAS  EL POBLADO  MEDELLIN,Las Palmas  El Poblado  Medellin,Medellín,,2671-M3570077,3208626266,Usado,3383.0,"/inmueble/venta-casa-medellin-las-palmas,-el-poblado,-medellin-4-habitaciones-5-banos-4-garajes/2671-M3570077","https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas,-el-poblado,-medellin-4-habitaciones-5-banos-4-garajes/2671-M3570077"
73.0,3,"Apartamento en Venta, San German, Medellín",venta,1,2,465000000,260000.0,0.0,Apartamento,,,SAN GERMAN,San German,Medellín,,12792-M4185849,3105969094,Usado,5749.0,/inmueble/venta-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/12792-M4185849,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/12792-M4185849
86.0,2,"Apartamento en Venta, Castropol El Poblado, Medellín",venta,2,3,760000000,387000.0,0.0,Apartamento,,,CASTROPOL,Castropol El Poblado,Medellín,Suroriente,10583-M4540171,3148873824,Usado,4952.0,/inmueble/venta-apartamento-medellin-castropol-2-habitaciones-3-banos-2-garajes/10583-M4540171,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-2-habitaciones-3-banos-2-garajes/10583-M4540171
1100.0,4,"Apartamento en Venta, El Poblado, Medellín",venta,4,5,5500000000,1950000000.0,0.0,Apartamento,,,LOS BALSOS No 1,El Poblado,Medellín,Suroriente,11714-M3108171,3105080492,Usado,5447.0,/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/11714-M3108171,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/11714-M3108171
600.0,4,"Casa en Venta, EL POBLADO EL TESORO, Medellín",venta,4,5,8800000000,0.0,0.0,Casa,,,LOS BALSOS NO 2,EL POBLADO EL TESORO,Medellín,Suroriente,14633-M4463208,3168644353,Usado,6150.0,/inmueble/venta-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/14633-M4463208,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/14633-M4463208
425.0,4,"Casa en Venta, LA COLA DEL ZORRO, Medellín",venta,3,5,1800000000,1240000.0,0.0,Casa,,,EL TESORO,LA COLA DEL ZORRO,Medellín,Suroriente,14633-M4290824,3168644353,Usado,6150.0,/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-5-banos-3-garajes/14633-M4290824,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-5-banos-3-garajes/14633-M4290824
160.0,4,"Casa en Venta, BELEN MIRAVALLE, Medellín",venta,1,2,650000000,0.0,0.0,Casa,,,MIRAVALLE,BELEN MIRAVALLE,Medellín,Suroccidente,15317-M4058399,3002609254,Usado,6357.0,/inmueble/venta-casa-medellin-miravalle-4-habitaciones-2-banos-1-garajes/15317-M4058399,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-miravalle-4-habitaciones-2-banos-1-garajes/15317-M4058399
185.0,5,"Casa en Venta, EL ESTADIO, Medellín",venta,1,4,975000000,18000.0,0.0,Casa,,,ESTADIO,EL ESTADIO,Medellín,Noroccidente,15873-M4440731,3207250987,Usado,6446.0,/inmueble/venta-casa-medellin-estadio-5-habitaciones-4-banos-1-garajes/15873-M4440731,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-estadio-5-habitaciones-4-banos-1-garajes/15873-M4440731
900.0,5,"Casa en Venta, EL POBLADO LAS PALMAS, Medellín",venta,3,5,7000000000,1588000.0,0.0,Casa,,,,EL POBLADO LAS PALMAS,Medellín,,5570-M3610463,3148617223,Usado,3809.0,/inmueble/venta-casa-medellin-na-5-habitaciones-5-banos-3-garajes/5570-M3610463,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-na-5-habitaciones-5-banos-3-garajes/5570-M3610463
300.0,5,"Casa en Venta, LOMA DEL ESCOBERO, Medellín",venta,4,5,1900000000,469000.0,0.0,Casa,,,LOMA DEL ESCOBERO,LOMA DEL ESCOBERO,Medellín,,687-M3221024,3044865460,Usado,2669.0,/inmueble/venta-casa-medellin-loma-del-escobero-5-habitaciones-5-banos-4-garajes/687-M3221024,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-loma-del-escobero-5-habitaciones-5-banos-4-garajes/687-M3221024
223.0,3,"Casa en Venta, EL POBLADO, Medellín",venta,2,5,1200000000,591522.0,0.0,Casa,,,LOS NARANJOS,EL POBLADO,Medellín,Suroriente,687-M3052056,3044865460,Usado,2669.0,/inmueble/venta-casa-medellin-los-naranjos-3-habitaciones-5-banos-2-garajes/687-M3052056,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-naranjos-3-habitaciones-5-banos-2-garajes/687-M3052056
1800.0,4,"Casa en Venta, LOS BALSOS, Medellín",venta,4,5,8000000000,750000.0,0.0,Casa,,,SAN LUCAS,LOS BALSOS,Medellín,Suroriente,14633-M3816871,3168644353,Usado,6150.0,/inmueble/venta-casa-medellin-san-lucas-4-habitaciones-5-banos-4-garajes/14633-M3816871,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-4-habitaciones-5-banos-4-garajes/14633-M3816871
127.0,4,"Casa en Venta, SIMON BOLIVAR, Medellín",venta,1,4,650000000,0.0,0.0,Casa,,,SIMON BOLIVAR,SIMON BOLIVAR,Medellín,Noroccidente,911-M4118571,6044168387,Usado,4754.0,/inmueble/venta-casa-medellin-simon-bolivar-4-habitaciones-4-banos-1-garajes/911-M4118571,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-simon-bolivar-4-habitaciones-4-banos-1-garajes/911-M4118571
100.0,4,"Casa en Venta, SANTA MONICA I, Medellín",venta,0,1,400000000,0.0,0.0,Casa,,,SANTA MONICA,SANTA MONICA I,Medellín,Noroccidente,911-M4259250,6044168387,Usado,4754.0,/inmueble/venta-casa-medellin-santa-monica-4-habitaciones-1-banos/911-M4259250,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-santa-monica-4-habitaciones-1-banos/911-M4259250
259.0,5,"Casa en Venta, PARQUE LLERAS, Medellín",venta,0,3,3200000000,0.0,0.0,Casa,,,EL POBLADO,PARQUE LLERAS,Medellín,Suroriente,14242-M3669448,3042281933,Usado,6050.0,/inmueble/venta-casa-medellin-el-poblado-5-habitaciones-3-banos/14242-M3669448,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-5-habitaciones-3-banos/14242-M3669448
127.0,4,"Casa en Venta, BELEN ALIADAS, Medellín",venta,2,2,650000000,0.0,0.0,Casa,,,BELEN ALIADAS,BELEN ALIADAS,Medellín,,13913-M4587022,3053670311,Usado,5955.0,/inmueble/venta-casa-medellin-belen-aliadas-4-habitaciones-2-banos-2-garajes/13913-M4587022,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-belen-aliadas-4-habitaciones-2-banos-2-garajes/13913-M4587022
130.0,2,"Casa en Venta, EL POBLADO, Medellín",venta,2,3,775000000,480000.0,0.0,Casa,,,CASTROPOL,EL POBLADO,Medellín,Suroriente,687-M4538936,3044865460,Usado,2669.0,/inmueble/venta-casa-medellin-castropol-2-habitaciones-3-banos-2-garajes/687-M4538936,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-castropol-2-habitaciones-3-banos-2-garajes/687-M4538936
140.0,3,"Casa en Venta, EL POBLADO, Medellín",venta,2,3,710000000,407000.0,0.0,Casa,,,LA AGUACATALA,EL POBLADO,Medellín,Suroriente,687-M2340653,3044865460,Usado,2669.0,/inmueble/venta-casa-medellin-la-aguacatala-3-habitaciones-3-banos-2-garajes/687-M2340653,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-aguacatala-3-habitaciones-3-banos-2-garajes/687-M2340653
1150.0,5,"Casa en Venta, LOS BALSOS NO 2, Medellín",venta,4,5,5500000000,800000.0,0.0,Casa,,,SAN LUCAS,LOS BALSOS NO 2,Medellín,Suroriente,14633-M3599353,3168644353,Usado,6150.0,/inmueble/venta-casa-medellin-san-lucas-5-habitaciones-5-banos-4-garajes/14633-M3599353,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-5-habitaciones-5-banos-4-garajes/14633-M3599353
217.0,4,"Casa en Venta, ALTOS DEL POBLADO, Medellín",venta,2,4,1380000000,967120.0,0.0,Casa,,,ALTOS DEL POBLADO,ALTOS DEL POBLADO,Medellín,Suroriente,14779-M4535839,3113498087,Usado,6183.0,/inmueble/venta-casa-medellin-altos-del-poblado-4-habitaciones-4-banos-2-garajes/14779-M4535839,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-4-habitaciones-4-banos-2-garajes/14779-M4535839
240.0,3,"Casa en Venta, EL POBLADO, Medellín",venta,4,4,1200000000,673200.0,0.0,Casa,,,LOS BALSOS NO 1,EL POBLADO,Medellín,Suroriente,687-M4495180,3044865460,Usado,2669.0,/inmueble/venta-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-4-garajes/687-M4495180,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-4-garajes/687-M4495180
340.0,4,"Apartamento en Venta, Poblado Los Balsos, Medellín",venta,3,5,2250000000,1400000.0,0.0,Apartamento,,,LOS BALSOS NO 1,Poblado Los Balsos,Medellín,Suroriente,16061-M4437338,3158417713,Usado,6645.0,/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-3-garajes/16061-M4437338,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-3-garajes/16061-M4437338
116.0,3,"Apartamento en Venta, Conquistadores, Medellín",venta,1,4,650000000,470000.0,0.0,Apartamento,,,LOS CONQUISTADORES,Conquistadores,Medellín,Noroccidente,14273-M4184745,3002272604,Usado,6071.0,/inmueble/venta-apartamento-medellin-los-conquistadores-3-habitaciones-4-banos-1-garajes/14273-M4184745,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-conquistadores-3-habitaciones-4-banos-1-garajes/14273-M4184745
260.0,4,"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",Venta y Arriendo,4,4,1130000000,1200000.0,6100000.0,Apartamento,,,LOS BALSOS No 2,EL POBLADO,Medellín,Suroriente,687-M2458442,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-los-balsos-no.2-4-habitaciones-4-banos-4-garajes/687-M2458442,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.2-4-habitaciones-4-banos-4-garajes/687-M2458442
168.0,3,"Apartamento en Venta y Arriendo, EL POBLADO LOS BALSOS, Medellín",Venta y Arriendo,2,5,1250000000,521000.0,5700000.0,Apartamento,,,EL TESORO,EL POBLADO LOS BALSOS,Medellín,Suroriente,687-M2726267,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-2-garajes/687-M2726267,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-2-garajes/687-M2726267
210.0,3,"Apartamento en Venta y Arriendo, poblado, Medellín",Venta y Arriendo,2,4,970000000,600000.0,4800000.0,Apartamento,,,EL TESORO,poblado,Medellín,Suroriente,687-M2458461,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M2458461,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M2458461
325.0,3,"Apartamento en Venta, LA TOMATERA, Medellín",venta,3,5,2400000000,1256600.0,0.0,Apartamento,,,LA FLORIDA,LA TOMATERA,Medellín,Suroriente,15653-M4299126,3046486898,Usado,6392.0,/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-5-banos-3-garajes/15653-M4299126,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-5-banos-3-garajes/15653-M4299126
480.0,4,"Apartamento en Venta, EL POBLADO LOS BALSOS, Medellín",venta,3,5,1800000000,1484241.0,0.0,Apartamento,,,LOS BALSOS No 1,EL POBLADO LOS BALSOS,Medellín,Suroriente,14633-M3624445,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-3-garajes/14633-M3624445,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-3-garajes/14633-M3624445
121.35,3,"Apartamento en Venta, EL POBLADO, Medellín",venta,2,4,1080000000,0.0,0.0,Apartamento,,,SIMESA,EL POBLADO,Medellín,Suroriente,16170-M4483170,3229190289,Usado,6754.0,/inmueble/venta-apartamento-medellin-simesa-3-habitaciones-4-banos-2-garajes/16170-M4483170,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simesa-3-habitaciones-4-banos-2-garajes/16170-M4483170
86.0,2,"Apartamento en Venta, EL POBLADO OVIEDO, Medellín",venta,1,2,750000000,406000.0,0.0,Apartamento,,,LOS BALSOS NO 2,EL POBLADO OVIEDO,Medellín,Suroriente,16061-M4489209,3158417713,Usado,6645.0,/inmueble/venta-apartamento-medellin-los-balsos-no.2-2-habitaciones-2-banos-1-garajes/16061-M4489209,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.2-2-habitaciones-2-banos-1-garajes/16061-M4489209
228.0,3,"Apartamento en Venta, EL POBLADO, Medellín",venta,3,4,1350000000,610000.0,0.0,Apartamento,,,EL TESORO,EL POBLADO,Medellín,Suroriente,687-M2373458,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M2373458,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M2373458
250.0,3,"Apartamento en Venta, EL POBLADO, Medellín",venta,3,3,1400000000,1300000.0,0.0,Apartamento,,,SAN LUCAS,EL POBLADO,Medellín,Suroriente,687-M4441910,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M4441910,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M4441910
160.0,3,"Apartamento en Venta, EL POBLADO, Medellín",venta,3,4,1150000000,410000.0,0.0,Apartamento,,,CASTROPOL,EL POBLADO,Medellín,Suroriente,687-M2600825,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-4-banos-3-garajes/687-M2600825,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-4-banos-3-garajes/687-M2600825
214.0,3,"Apartamento en Venta, EL POBLADO, Medellín",venta,3,4,1180000000,800000.0,0.0,Apartamento,,,PATIO BONITO,EL POBLADO,Medellín,Suroriente,687-M3052035,3044865460,Usado,2669.0,/inmueble/venta-apartamento-medellin-patio-bonito-3-habitaciones-4-banos-3-garajes/687-M3052035,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-patio-bonito-3-habitaciones-4-banos-3-garajes/687-M3052035
147.0,3,"Apartamento en Venta, LAURELES LA ALMERIA, Medellín",venta,1,4,660000000,0.0,0.0,Apartamento,,,SANTA TERESITA,LAURELES LA ALMERIA,Medellín,Noroccidente,15653-M4154332,3046486898,Usado,6392.0,/inmueble/venta-apartamento-medellin-santa-teresita-3-habitaciones-4-banos-1-garajes/15653-M4154332,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-santa-teresita-3-habitaciones-4-banos-1-garajes/15653-M4154332
157.0,3,"Apartamento en Venta, EL POBLADO LA FLORIDA, Medellín",venta,2,2,1000000000,1045000.0,0.0,Apartamento,,,LA FLORIDA,EL POBLADO LA FLORIDA,Medellín,Suroriente,14633-M4400249,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-2-banos-2-garajes/14633-M4400249,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-2-banos-2-garajes/14633-M4400249
431.0,3,"Apartamento en Venta, SAN LUCAS, Medellín",venta,4,4,1800000000,2100000.0,0.0,Apartamento,,,SAN LUCAS,SAN LUCAS,Medellín,Suroriente,14633-M3592630,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-4-banos-4-garajes/14633-M3592630,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-4-banos-4-garajes/14633-M3592630
93.0,2,"Apartamento en Venta, ALTO DE LAS PALMAS, Medellín",venta,2,2,1050000000,622277.0,0.0,Apartamento,,,ASOMADERA NO 2,ALTO DE LAS PALMAS,Medellín,Nororiente,14633-M4463365,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-asomadera-no.2-2-habitaciones-2-banos-2-garajes/14633-M4463365,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-asomadera-no.2-2-habitaciones-2-banos-2-garajes/14633-M4463365
432.0,3,"Apartamento en Venta, LA TOMATERA, Medellín",venta,4,4,3100000000,1600000.0,0.0,Apartamento,,,LA FLORIDA,LA TOMATERA,Medellín,Suroriente,14633-M3594485,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-4-banos-4-garajes/14633-M3594485,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-3-habitaciones-4-banos-4-garajes/14633-M3594485
413.0,4,"Apartamento en Venta, LOS NARANJOS, Medellín",venta,4,5,2500000000,1919200.0,0.0,Apartamento,,,LOS NARANJOS,LOS NARANJOS,Medellín,,14633-M3803552,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-5-banos-4-garajes/14633-M3803552,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-5-banos-4-garajes/14633-M3803552
137.0,3,"Apartamento en Venta, LAURELES, Medellín",venta,2,3,750000000,577420.0,0.0,Apartamento,,,Laureles,LAURELES,Medellín,Noroccidente,14633-M3666692,3168644353,Usado,6150.0,/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/14633-M3666692,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/14633-M3666692
